Gene name,Gene stable ID version,Human gene stable ID,Human gene name
Gm40460,ENSMUSG00000110324.1,ENSG00000212722,KRTAP4-9
Gm40460,ENSMUSG00000110324.1,ENSG00000204880,KRTAP4-8
Gm40460,ENSMUSG00000110324.1,ENSG00000171396,KRTAP4-4
Gm40460,ENSMUSG00000110324.1,ENSG00000239886,KRTAP9-2
Gm40460,ENSMUSG00000110324.1,ENSG00000241595,KRTAP9-4
Gm40460,ENSMUSG00000110324.1,ENSG00000204873,KRTAP9-3
Gm40460,ENSMUSG00000110324.1,ENSG00000187272,KRTAP9-8
Gm40460,ENSMUSG00000110324.1,ENSG00000198083,KRTAP9-9
Gm40460,ENSMUSG00000110324.1,ENSG00000212659,KRTAP9-6
Gm40460,ENSMUSG00000110324.1,ENSG00000180386,KRTAP9-7
Gm40460,ENSMUSG00000110324.1,ENSG00000198271,KRTAP4-5
Cdyl,ENSMUSG00000059288.14,ENSG00000153046,CDYL
Pin1rt1,ENSMUSG00000074997.3,ENSG00000127445,PIN1
Stk35,ENSMUSG00000037885.18,ENSG00000125834,STK35
Npm3,ENSMUSG00000056209.7,ENSG00000107833,NPM3
F10,ENSMUSG00000031444.16,ENSG00000126218,F10
Gm4559,ENSMUSG00000056885.5,ENSG00000240542,KRTAP9-1
Gm4559,ENSMUSG00000056885.5,ENSG00000188155,KRTAP10-6
Gm4559,ENSMUSG00000056885.5,ENSG00000221837,KRTAP10-9
Gm4559,ENSMUSG00000056885.5,ENSG00000241123,KRTAP10-5
Gm4559,ENSMUSG00000056885.5,ENSG00000215455,KRTAP10-1
Gm4559,ENSMUSG00000056885.5,ENSG00000212935,KRTAP10-3
Gm4559,ENSMUSG00000056885.5,ENSG00000213417,KRTAP2-4
Gm4559,ENSMUSG00000056885.5,ENSG00000212724,KRTAP2-3
Gm4559,ENSMUSG00000056885.5,ENSG00000212725,KRTAP2-1
Gm4559,ENSMUSG00000056885.5,ENSG00000214518,KRTAP2-2
Gm4559,ENSMUSG00000056885.5,ENSG00000198443,KRTAP4-1
Gm4559,ENSMUSG00000056885.5,ENSG00000244537,KRTAP4-2
Gm4559,ENSMUSG00000056885.5,ENSG00000215454,KRTAP10-4
Gm4559,ENSMUSG00000056885.5,ENSG00000243489,KRTAP10-11
Gm4559,ENSMUSG00000056885.5,ENSG00000212721,KRTAP4-11
Gm4559,ENSMUSG00000056885.5,ENSG00000241241,KRTAP4-16
Gm4559,ENSMUSG00000056885.5,ENSG00000212722,KRTAP4-9
Gm4559,ENSMUSG00000056885.5,ENSG00000204880,KRTAP4-8
Gm4559,ENSMUSG00000056885.5,ENSG00000171396,KRTAP4-4
Gm4559,ENSMUSG00000056885.5,ENSG00000239886,KRTAP9-2
Gm4559,ENSMUSG00000056885.5,ENSG00000241595,KRTAP9-4
Gm4559,ENSMUSG00000056885.5,ENSG00000204873,KRTAP9-3
Gm4559,ENSMUSG00000056885.5,ENSG00000187272,KRTAP9-8
Gm4559,ENSMUSG00000056885.5,ENSG00000198083,KRTAP9-9
Gm4559,ENSMUSG00000056885.5,ENSG00000212659,KRTAP9-6
Gm4559,ENSMUSG00000056885.5,ENSG00000180386,KRTAP9-7
Gm4559,ENSMUSG00000056885.5,ENSG00000198271,KRTAP4-5
Upk3bl,ENSMUSG00000006143.12,ENSG00000267368,UPK3BL1
Upk3bl,ENSMUSG00000006143.12,ENSG00000205236,AC105052.1
Upk3bl,ENSMUSG00000006143.12,ENSG00000284981,UPK3BL2
Krtcap2,ENSMUSG00000042747.12,ENSG00000163463,KRTCAP2
Msh5,ENSMUSG00000007035.15,ENSG00000255152,MSH5-SAPCD1
Msh5,ENSMUSG00000007035.15,ENSG00000204410,MSH5
1700019N19Rik,ENSMUSG00000026931.10,ENSG00000165863,C10orf82
Has1,ENSMUSG00000003665.7,ENSG00000105509,HAS1
1700008O03Rik,ENSMUSG00000008028.15,ENSG00000235034,C19orf81
Thnsl2,ENSMUSG00000054474.15,ENSG00000144115,THNSL2
Adipor1,ENSMUSG00000026457.14,ENSG00000159346,ADIPOR1
Lipg,ENSMUSG00000053846.5,ENSG00000101670,LIPG
Olfr1293-ps,ENSMUSG00000108908.4,ENSG00000177693,OR4F4
Olfr1293-ps,ENSMUSG00000108908.4,ENSG00000186092,OR4F5
Olfr1293-ps,ENSMUSG00000108908.4,ENSG00000176695,OR4F17
Hspa8,ENSMUSG00000015656.17,ENSG00000109971,HSPA8
Zfp629,ENSMUSG00000045639.14,ENSG00000102870,ZNF629
Otog,ENSMUSG00000009487.10,ENSG00000188162,OTOG
Fubp3,ENSMUSG00000026843.15,ENSG00000107164,FUBP3
Arpc5,ENSMUSG00000008475.13,ENSG00000162704,ARPC5
Tmem95,ENSMUSG00000094845.2,ENSG00000182896,TMEM95
Trim46,ENSMUSG00000042766.17,ENSG00000163462,TRIM46
Kctd11,ENSMUSG00000046731.5,ENSG00000213859,KCTD11
Ina,ENSMUSG00000034336.3,ENSG00000148798,INA
Sec23b,ENSMUSG00000027429.16,ENSG00000101310,SEC23B
Tk2,ENSMUSG00000035824.7,ENSG00000166548,TK2
Nkx6-3,ENSMUSG00000063672.7,ENSG00000165066,NKX6-3
Ulk2,ENSMUSG00000004798.14,ENSG00000083290,ULK2
Zpbp2,ENSMUSG00000017195.15,ENSG00000186075,ZPBP2
4930590J08Rik,ENSMUSG00000034063.8,ENSG00000131379,C3orf20
F2rl1,ENSMUSG00000021678.9,ENSG00000164251,F2RL1
Zfp85,ENSMUSG00000058331.15,ENSG00000197013,ZNF429
Nt5c2,ENSMUSG00000025041.17,ENSG00000076685,NT5C2
H2al1m,ENSMUSG00000100200.1,ENSG00000229674,H2AL1RP
Fktn,ENSMUSG00000028414.17,ENSG00000106692,FKTN
Xk,ENSMUSG00000015342.6,ENSG00000047597,XK
Xlr,ENSMUSG00000054626.11,ENSG00000139351,SYCP3
Vps35l,ENSMUSG00000030982.19,ENSG00000103544,VPS35L
Spag8,ENSMUSG00000066196.11,ENSG00000137098,SPAG8
Lce1g,ENSMUSG00000027919.5,ENSG00000186207,LCE5A
Fam163b,ENSMUSG00000009216.7,ENSG00000196990,FAM163B
Fabp1,ENSMUSG00000054422.7,ENSG00000163586,FABP1
Dio2,ENSMUSG00000007682.6,ENSG00000211448,DIO2
Mtss1,ENSMUSG00000022353.10,ENSG00000170873,MTSS1
Eno4,ENSMUSG00000048029.10,ENSG00000188316,ENO4
Phc1,ENSMUSG00000040669.14,ENSG00000111752,PHC1
Abhd6,ENSMUSG00000025277.14,ENSG00000163686,ABHD6
Cblb,ENSMUSG00000022637.11,ENSG00000114423,CBLB
Fat2,ENSMUSG00000055333.14,ENSG00000086570,FAT2
Xndc1,ENSMUSG00000099481.6,ENSG00000254469,AP002495.1
Apba1,ENSMUSG00000024897.9,ENSG00000107282,APBA1
Ddx42,ENSMUSG00000020705.6,ENSG00000198231,DDX42
Ccnd2,ENSMUSG00000000184.12,ENSG00000285901,AC008012.1
Ccnd2,ENSMUSG00000000184.12,ENSG00000118971,CCND2
Moxd1,ENSMUSG00000020000.7,ENSG00000079931,MOXD1
Tal2,ENSMUSG00000028417.3,ENSG00000186051,TAL2
Zbtb21,ENSMUSG00000046962.16,ENSG00000173276,ZBTB21
Clhc1,ENSMUSG00000020461.10,ENSG00000162994,CLHC1
Gpat4,ENSMUSG00000031545.6,ENSG00000158669,GPAT4
Onecut3,ENSMUSG00000045518.8,ENSG00000205922,ONECUT3
Ddx47,ENSMUSG00000030204.10,ENSG00000213782,DDX47
Defa38,ENSMUSG00000061958.5,ENSG00000206047,DEFA1
Defa38,ENSMUSG00000061958.5,ENSG00000164821,DEFA4
Defa38,ENSMUSG00000061958.5,ENSG00000240247,DEFA1B
Defa38,ENSMUSG00000061958.5,ENSG00000164822,DEFA6
Defa38,ENSMUSG00000061958.5,ENSG00000239839,DEFA3
Defa38,ENSMUSG00000061958.5,ENSG00000164816,DEFA5
Zfp759,ENSMUSG00000057396.7,ENSG00000213799,ZNF845
Nudt16l1,ENSMUSG00000022516.10,ENSG00000168101,NUDT16L1
Gmds,ENSMUSG00000038372.14,ENSG00000112699,GMDS
Triml1,ENSMUSG00000031651.5,ENSG00000184108,TRIML1
Hspa12a,ENSMUSG00000025092.7,ENSG00000165868,HSPA12A
Fasn,ENSMUSG00000025153.9,ENSG00000169710,FASN
Mgrn1,ENSMUSG00000022517.17,ENSG00000102858,MGRN1
Prr27,ENSMUSG00000002240.12,ENSG00000187533,PRR27
C2cd2,ENSMUSG00000045975.8,ENSG00000157617,C2CD2
Rims3,ENSMUSG00000032890.17,ENSG00000117016,RIMS3
Klc1,ENSMUSG00000021288.19,ENSG00000126214,KLC1
Rtcb,ENSMUSG00000001783.3,ENSG00000100220,RTCB
Tmem38b,ENSMUSG00000028420.13,ENSG00000095209,TMEM38B
Hnf4g,ENSMUSG00000017688.14,ENSG00000164749,HNF4G
Sema4d,ENSMUSG00000021451.16,ENSG00000187764,SEMA4D
Evx1,ENSMUSG00000005503.8,ENSG00000106038,EVX1
Rps27a,ENSMUSG00000020460.15,ENSG00000143947,RPS27A
Shoc1,ENSMUSG00000038598.9,ENSG00000165181,SHOC1
Ighm,ENSMUSG00000076617.9,ENSG00000211899,IGHM
Ifitm10,ENSMUSG00000045777.14,ENSG00000244242,IFITM10
2210016F16Rik,ENSMUSG00000021550.6,ENSG00000165118,C9orf64
Insig1,ENSMUSG00000045294.11,ENSG00000186480,INSIG1
Gm5771,ENSMUSG00000058119.6,ENSG00000204983,PRSS1
Gm5771,ENSMUSG00000058119.6,ENSG00000010438,PRSS3
Gm5771,ENSMUSG00000058119.6,ENSG00000275896,PRSS2
Ptprc,ENSMUSG00000026395.16,ENSG00000081237,PTPRC
Esr1,ENSMUSG00000019768.16,ENSG00000091831,ESR1
Ift20,ENSMUSG00000001105.15,ENSG00000109083,IFT20
Marcks,ENSMUSG00000069662.5,ENSG00000277443,MARCKS
Gfap,ENSMUSG00000020932.14,ENSG00000131095,GFAP
Khdc1a,ENSMUSG00000067750.3,ENSG00000256980,KHDC1L
Khdc1a,ENSMUSG00000067750.3,ENSG00000135314,KHDC1
Khdc1a,ENSMUSG00000067750.3,ENSG00000243501,AL365232.1
Ascl4,ENSMUSG00000085111.3,ENSG00000187855,ASCL4
Plpp5,ENSMUSG00000031570.17,ENSG00000147535,PLPP5
Ptbp3,ENSMUSG00000028382.15,ENSG00000119314,PTBP3
Pstpip2,ENSMUSG00000025429.9,ENSG00000152229,PSTPIP2
Ctsd,ENSMUSG00000007891.16,ENSG00000250644,AC068580.4
Ctsd,ENSMUSG00000007891.16,ENSG00000117984,CTSD
Sncaip,ENSMUSG00000024534.15,ENSG00000064692,SNCAIP
Qsox2,ENSMUSG00000036327.18,ENSG00000165661,QSOX2
BC031181,ENSMUSG00000036299.5,ENSG00000177576,C18orf32
Ccdc61,ENSMUSG00000074358.9,ENSG00000104983,CCDC61
Prex2,ENSMUSG00000048960.13,ENSG00000046889,PREX2
Clic4,ENSMUSG00000037242.8,ENSG00000169504,CLIC4
Myod1,ENSMUSG00000009471.4,ENSG00000129152,MYOD1
Tmem216,ENSMUSG00000024667.12,ENSG00000187049,TMEM216
H2al1k,ENSMUSG00000100448.1,ENSG00000229674,H2AL1RP
Reep3,ENSMUSG00000019873.8,ENSG00000165476,REEP3
Olfr669,ENSMUSG00000073916.3,ENSG00000181009,OR52N5
Khdc1c,ENSMUSG00000041722.7,ENSG00000256980,KHDC1L
Khdc1c,ENSMUSG00000041722.7,ENSG00000135314,KHDC1
Khdc1c,ENSMUSG00000041722.7,ENSG00000243501,AL365232.1
Cdkn3,ENSMUSG00000037628.10,ENSG00000100526,CDKN3
Jak1,ENSMUSG00000028530.14,ENSG00000162434,JAK1
C1qb,ENSMUSG00000036905.8,ENSG00000173369,C1QB
Kcnc1,ENSMUSG00000058975.7,ENSG00000129159,KCNC1
Senp2,ENSMUSG00000022855.9,ENSG00000163904,SENP2
Klk1b27,ENSMUSG00000063177.6,ENSG00000167748,KLK1
Klk1b27,ENSMUSG00000063177.6,ENSG00000167751,KLK2
Klk1b27,ENSMUSG00000063177.6,ENSG00000142515,KLK3
Dipk1a,ENSMUSG00000029270.10,ENSG00000154511,DIPK1A
Khdc1b,ENSMUSG00000085079.3,ENSG00000256980,KHDC1L
Khdc1b,ENSMUSG00000085079.3,ENSG00000135314,KHDC1
Khdc1b,ENSMUSG00000085079.3,ENSG00000243501,AL365232.1
Jmjd1c,ENSMUSG00000037876.17,ENSG00000171988,JMJD1C
Ccdc92,ENSMUSG00000037979.13,ENSG00000119242,CCDC92
Hint2,ENSMUSG00000028470.10,ENSG00000137133,HINT2
Vangl1,ENSMUSG00000027860.15,ENSG00000173218,VANGL1
Rsl1,ENSMUSG00000058900.5,ENSG00000197013,ZNF429
Sdhaf2,ENSMUSG00000024668.8,ENSG00000167985,SDHAF2
Spp1,ENSMUSG00000029304.14,ENSG00000118785,SPP1
Arid1a,ENSMUSG00000007880.16,ENSG00000117713,ARID1A
Klk1b21,ENSMUSG00000066516.5,ENSG00000167748,KLK1
Klk1b21,ENSMUSG00000066516.5,ENSG00000167751,KLK2
Klk1b21,ENSMUSG00000066516.5,ENSG00000142515,KLK3
Depdc7,ENSMUSG00000027173.7,ENSG00000121690,DEPDC7
Kif18b,ENSMUSG00000051378.10,ENSG00000186185,KIF18B
Lhx3,ENSMUSG00000026934.15,ENSG00000107187,LHX3
Tmem59l,ENSMUSG00000035964.8,ENSG00000105696,TMEM59L
Odam,ENSMUSG00000009580.15,ENSG00000109205,ODAM
Klk1b22,ENSMUSG00000060177.6,ENSG00000167748,KLK1
Klk1b22,ENSMUSG00000060177.6,ENSG00000167751,KLK2
Klk1b22,ENSMUSG00000060177.6,ENSG00000142515,KLK3
Ercc5,ENSMUSG00000026048.16,ENSG00000270181,BIVM-ERCC5
Ercc5,ENSMUSG00000026048.16,ENSG00000134897,BIVM
Ercc5,ENSMUSG00000026048.16,ENSG00000134899,ERCC5
Cys1,ENSMUSG00000062563.15,ENSG00000205795,CYS1
Ablim2,ENSMUSG00000029095.17,ENSG00000163995,ABLIM2
Cpsf7,ENSMUSG00000034820.4,ENSG00000149532,CPSF7
Cd200r2,ENSMUSG00000090176.1,ENSG00000206531,CD200R1L
Cd200r2,ENSMUSG00000090176.1,ENSG00000163606,CD200R1
Tbl1xr1,ENSMUSG00000027630.13,ENSG00000177565,TBL1XR1
Tmem147,ENSMUSG00000006315.9,ENSG00000105677,TMEM147
Gjd3,ENSMUSG00000047197.1,ENSG00000183153,GJD3
Srsf5,ENSMUSG00000021134.17,ENSG00000100650,SRSF5
Tap2,ENSMUSG00000024339.12,ENSG00000204267,TAP2
Tap2,ENSMUSG00000024339.12,ENSG00000250264,AL669918.1
Taok2,ENSMUSG00000059981.12,ENSG00000149930,TAOK2
Snx31,ENSMUSG00000013611.14,ENSG00000174226,SNX31
Tmem168,ENSMUSG00000029569.9,ENSG00000146802,TMEM168
Zfp180,ENSMUSG00000057101.8,ENSG00000167384,ZNF180
Slc26a9,ENSMUSG00000042268.10,ENSG00000174502,SLC26A9
Smox,ENSMUSG00000027333.18,ENSG00000088826,SMOX
Gm3376,ENSMUSG00000096520.7,ENSG00000244395,RBMY1D
Gm3376,ENSMUSG00000096520.7,ENSG00000226941,RBMY1J
Gm3376,ENSMUSG00000096520.7,ENSG00000242389,RBMY1E
Gm3376,ENSMUSG00000096520.7,ENSG00000169800,RBMY1F
Gm3376,ENSMUSG00000096520.7,ENSG00000242875,RBMY1B
Gm3376,ENSMUSG00000096520.7,ENSG00000234414,RBMY1A1
En2,ENSMUSG00000039095.8,ENSG00000164778,EN2
Elac2,ENSMUSG00000020549.14,ENSG00000006744,ELAC2
Gm5788,ENSMUSG00000113805.1,ENSG00000198692,EIF1AY
Gm49369,ENSMUSG00000110040.1,ENSG00000250644,AC068580.4
Gm49369,ENSMUSG00000110040.1,ENSG00000117984,CTSD
Sec14l3,ENSMUSG00000054986.13,ENSG00000100012,SEC14L3
Mknk1,ENSMUSG00000028708.16,ENSG00000079277,MKNK1
Tsga13,ENSMUSG00000039032.2,ENSG00000213265,TSGA13
Zfp112,ENSMUSG00000052675.11,ENSG00000267173,AC245748.1
Zfp112,ENSMUSG00000052675.11,ENSG00000062370,ZNF112
Bloc1s1,ENSMUSG00000090247.7,ENSG00000135441,BLOC1S1
Bloc1s1,ENSMUSG00000090247.7,ENSG00000258311,AC009779.3
Rufy1,ENSMUSG00000020375.9,ENSG00000176783,RUFY1
Vsig2,ENSMUSG00000001943.8,ENSG00000019102,VSIG2
Eci2,ENSMUSG00000021417.15,ENSG00000198721,ECI2
Sgce,ENSMUSG00000004631.15,ENSG00000127990,SGCE
Raver2,ENSMUSG00000035275.14,ENSG00000162437,RAVER2
Defa30,ENSMUSG00000074444.4,ENSG00000206047,DEFA1
Defa30,ENSMUSG00000074444.4,ENSG00000164821,DEFA4
Defa30,ENSMUSG00000074444.4,ENSG00000240247,DEFA1B
Defa30,ENSMUSG00000074444.4,ENSG00000164822,DEFA6
Defa30,ENSMUSG00000074444.4,ENSG00000239839,DEFA3
Defa30,ENSMUSG00000074444.4,ENSG00000164816,DEFA5
Rdh5,ENSMUSG00000025350.15,ENSG00000135437,RDH5
Strbp,ENSMUSG00000026915.16,ENSG00000165209,STRBP
Ccn2,ENSMUSG00000019997.11,ENSG00000118523,CCN2
Psmb8,ENSMUSG00000024338.15,ENSG00000204264,PSMB8
Tmem8b,ENSMUSG00000078716.10,ENSG00000137103,TMEM8B
Lars,ENSMUSG00000024493.9,ENSG00000133706,LARS1
Trafd1,ENSMUSG00000042726.14,ENSG00000135148,TRAFD1
Kif7,ENSMUSG00000050382.14,ENSG00000166813,KIF7
Aspa,ENSMUSG00000020774.9,ENSG00000108381,ASPA
Ormdl3,ENSMUSG00000038150.7,ENSG00000172057,ORMDL3
Klhl12,ENSMUSG00000026455.14,ENSG00000117153,KLHL12
Tmbim1,ENSMUSG00000006301.17,ENSG00000135926,TMBIM1
Hace1,ENSMUSG00000038822.15,ENSG00000085382,HACE1
Unc5b,ENSMUSG00000020099.8,ENSG00000107731,UNC5B
Wdr37,ENSMUSG00000021147.17,ENSG00000047056,WDR37
Lmntd2,ENSMUSG00000025500.12,ENSG00000185522,LMNTD2
Tbk1,ENSMUSG00000020115.3,ENSG00000183735,TBK1
Cpsf6,ENSMUSG00000055531.12,ENSG00000111605,CPSF6
Ccl21b,ENSMUSG00000095675.2,ENSG00000137077,CCL21
Fam219a,ENSMUSG00000028439.14,ENSG00000164970,FAM219A
Xrcc3,ENSMUSG00000021287.12,ENSG00000126215,XRCC3
Kprp,ENSMUSG00000059832.4,ENSG00000203786,KPRP
Bhlhe40,ENSMUSG00000030103.11,ENSG00000134107,BHLHE40
Agxt,ENSMUSG00000026272.6,ENSG00000172482,AGXT
Sf3b2,ENSMUSG00000024853.10,ENSG00000087365,SF3B2
Vti1b,ENSMUSG00000021124.13,ENSG00000100568,VTI1B
Tgm3,ENSMUSG00000027401.9,ENSG00000286022,AL121899.2
Tgm3,ENSMUSG00000027401.9,ENSG00000125780,TGM3
Gm21953,ENSMUSG00000094695.2,ENSG00000187186,AL162231.1
Mroh9,ENSMUSG00000071890.4,ENSG00000117501,MROH9
Cthrc1,ENSMUSG00000054196.7,ENSG00000164932,CTHRC1
Exo5,ENSMUSG00000028629.9,ENSG00000164002,EXO5
F2r,ENSMUSG00000048376.6,ENSG00000181104,F2R
Icos,ENSMUSG00000026009.14,ENSG00000163600,ICOS
Gc,ENSMUSG00000035540.12,ENSG00000145321,GC
Slc7a6os,ENSMUSG00000033106.6,ENSG00000103061,SLC7A6OS
Rbm45,ENSMUSG00000042369.8,ENSG00000155636,RBM45
Rasgrp2,ENSMUSG00000032946.16,ENSG00000068831,RASGRP2
Entpd7,ENSMUSG00000025192.13,ENSG00000198018,ENTPD7
Bsx,ENSMUSG00000054360.4,ENSG00000188909,BSX
Lrrc56,ENSMUSG00000038637.15,ENSG00000161328,LRRC56
2310050C09Rik,ENSMUSG00000090314.2,ENSG00000198854,C1orf68
Ppp4r4,ENSMUSG00000021209.12,ENSG00000119698,PPP4R4
Arg2,ENSMUSG00000021125.6,ENSG00000081181,ARG2
Myl10,ENSMUSG00000005474.9,ENSG00000106436,MYL10
Fmo3,ENSMUSG00000026691.10,ENSG00000007933,FMO3
Ddx20,ENSMUSG00000027905.15,ENSG00000064703,DDX20
Fam221b,ENSMUSG00000043633.6,ENSG00000204930,FAM221B
Cemip,ENSMUSG00000052353.13,ENSG00000103888,CEMIP
Timm23,ENSMUSG00000013701.13,ENSG00000265354,TIMM23
Timm23,ENSMUSG00000013701.13,ENSG00000178440,TIMM23B-AGAP6
Timm23,ENSMUSG00000013701.13,ENSG00000204152,TIMM23B
Ticrr,ENSMUSG00000046591.10,ENSG00000140534,TICRR
Ncf2,ENSMUSG00000026480.12,ENSG00000116701,NCF2
Ldhc,ENSMUSG00000030851.15,ENSG00000166796,LDHC
Aoah,ENSMUSG00000021322.8,ENSG00000136250,AOAH
Usp5,ENSMUSG00000038429.10,ENSG00000111667,USP5
Gprc5b,ENSMUSG00000008734.9,ENSG00000167191,GPRC5B
Tgfb1i1,ENSMUSG00000030782.17,ENSG00000140682,TGFB1I1
Slc18a1,ENSMUSG00000036330.12,ENSG00000036565,SLC18A1
Slco4c1,ENSMUSG00000040693.7,ENSG00000173930,SLCO4C1
Cutc,ENSMUSG00000025193.14,ENSG00000119929,CUTC
Nxf1,ENSMUSG00000010097.15,ENSG00000162231,NXF1
Mbtps1,ENSMUSG00000031835.16,ENSG00000140943,MBTPS1
Gpr21,ENSMUSG00000053164.6,ENSG00000188394,GPR21
Nrgn,ENSMUSG00000053310.11,ENSG00000154146,NRGN
Gins4,ENSMUSG00000031546.6,ENSG00000147536,GINS4
Gm8300,ENSMUSG00000079034.2,ENSG00000198692,EIF1AY
Coa4,ENSMUSG00000044881.7,ENSG00000181924,COA4
Pnkd,ENSMUSG00000026179.14,ENSG00000127838,PNKD
Rabgap1,ENSMUSG00000035437.15,ENSG00000011454,RABGAP1
Il22,ENSMUSG00000074695.3,ENSG00000127318,IL22
Iqck,ENSMUSG00000073856.11,ENSG00000174628,IQCK
Uck2,ENSMUSG00000026558.13,ENSG00000143179,UCK2
Plcxd3,ENSMUSG00000049148.8,ENSG00000182836,PLCXD3
Arhgap44,ENSMUSG00000033389.16,ENSG00000006740,ARHGAP44
Gm21518,ENSMUSG00000094821.7,ENSG00000139351,SYCP3
Sbsn,ENSMUSG00000046056.15,ENSG00000189001,SBSN
Lrrc3c,ENSMUSG00000086545.4,ENSG00000204913,LRRC3C
Ftsj3,ENSMUSG00000020706.13,ENSG00000108592,FTSJ3
Defa22,ENSMUSG00000074443.1,ENSG00000206047,DEFA1
Defa22,ENSMUSG00000074443.1,ENSG00000164821,DEFA4
Defa22,ENSMUSG00000074443.1,ENSG00000240247,DEFA1B
Defa22,ENSMUSG00000074443.1,ENSG00000164822,DEFA6
Defa22,ENSMUSG00000074443.1,ENSG00000239839,DEFA3
Defa22,ENSMUSG00000074443.1,ENSG00000164816,DEFA5
Tspan10,ENSMUSG00000039691.10,ENSG00000182612,TSPAN10
Ndufaf4,ENSMUSG00000028261.13,ENSG00000123545,NDUFAF4
Mab21l4,ENSMUSG00000034159.12,ENSG00000172478,MAB21L4
Gprc5a,ENSMUSG00000046733.7,ENSG00000013588,GPRC5A
Csn3,ENSMUSG00000001622.15,ENSG00000171209,CSN3
Defa31,ENSMUSG00000074442.4,ENSG00000206047,DEFA1
Defa31,ENSMUSG00000074442.4,ENSG00000164821,DEFA4
Defa31,ENSMUSG00000074442.4,ENSG00000240247,DEFA1B
Defa31,ENSMUSG00000074442.4,ENSG00000164822,DEFA6
Defa31,ENSMUSG00000074442.4,ENSG00000239839,DEFA3
Defa31,ENSMUSG00000074442.4,ENSG00000164816,DEFA5
Ndufa10,ENSMUSG00000026260.12,ENSG00000130414,NDUFA10
Atp6v1b2,ENSMUSG00000006273.14,ENSG00000147416,ATP6V1B2
Defa41,ENSMUSG00000079116.1,ENSG00000206047,DEFA1
Defa41,ENSMUSG00000079116.1,ENSG00000164821,DEFA4
Defa41,ENSMUSG00000079116.1,ENSG00000240247,DEFA1B
Defa41,ENSMUSG00000079116.1,ENSG00000164822,DEFA6
Defa41,ENSMUSG00000079116.1,ENSG00000239839,DEFA3
Defa41,ENSMUSG00000079116.1,ENSG00000164816,DEFA5
Smim26,ENSMUSG00000074754.4,ENSG00000232388,SMIM26
Knop1,ENSMUSG00000030980.17,ENSG00000103550,KNOP1
Elovl7,ENSMUSG00000021696.9,ENSG00000164181,ELOVL7
Dbh,ENSMUSG00000000889.8,ENSG00000123454,DBH
Golga7,ENSMUSG00000015341.17,ENSG00000147533,GOLGA7
Rmc1,ENSMUSG00000024410.15,ENSG00000141452,RMC1
Gm10334,ENSMUSG00000071517.6,ENSG00000204983,PRSS1
Gm10334,ENSMUSG00000071517.6,ENSG00000010438,PRSS3
Gm10334,ENSMUSG00000071517.6,ENSG00000275896,PRSS2
Cox15,ENSMUSG00000040018.9,ENSG00000285932,AL133353.2
Gm20823,ENSMUSG00000093950.2,ENSG00000147059,SPIN2A
Gm20823,ENSMUSG00000093950.2,ENSG00000186787,SPIN2B
Bcl7c,ENSMUSG00000030814.17,ENSG00000099385,BCL7C
Gm32717,ENSMUSG00000112216.1,ENSG00000096401,CDC5L
Tex13c1,ENSMUSG00000078320.4,ENSG00000282815,TEX13C
Tex13c1,ENSMUSG00000078320.4,ENSG00000282419,TEX13D
Zfp493,ENSMUSG00000090659.9,ENSG00000197013,ZNF429
Myo7b,ENSMUSG00000024388.11,ENSG00000169994,MYO7B
Pde6g,ENSMUSG00000025386.2,ENSG00000185527,PDE6G
Cybb,ENSMUSG00000015340.10,ENSG00000165168,CYBB
Gltp,ENSMUSG00000011884.13,ENSG00000139433,GLTP
Pter,ENSMUSG00000026730.12,ENSG00000165983,PTER
Prss1,ENSMUSG00000062751.5,ENSG00000204983,PRSS1
Prss1,ENSMUSG00000062751.5,ENSG00000010438,PRSS3
Prss1,ENSMUSG00000062751.5,ENSG00000275896,PRSS2
Rabif,ENSMUSG00000042229.9,ENSG00000183155,RABIF
Gapdhs,ENSMUSG00000061099.12,ENSG00000105679,GAPDHS
Ncald,ENSMUSG00000051359.15,ENSG00000104490,NCALD
Ngf,ENSMUSG00000027859.10,ENSG00000134259,NGF
Clec10a,ENSMUSG00000000318.16,ENSG00000132514,CLEC10A
Jhy,ENSMUSG00000032023.7,ENSG00000109944,JHY
Prdm12,ENSMUSG00000079466.2,ENSG00000130711,PRDM12
Guf1,ENSMUSG00000029208.16,ENSG00000151806,GUF1
C1ql1,ENSMUSG00000045532.5,ENSG00000131094,C1QL1
Defa40,ENSMUSG00000074441.3,ENSG00000206047,DEFA1
Defa40,ENSMUSG00000074441.3,ENSG00000164821,DEFA4
Defa40,ENSMUSG00000074441.3,ENSG00000240247,DEFA1B
Defa40,ENSMUSG00000074441.3,ENSG00000164822,DEFA6
Defa40,ENSMUSG00000074441.3,ENSG00000239839,DEFA3
Defa40,ENSMUSG00000074441.3,ENSG00000164816,DEFA5
Fam189a2,ENSMUSG00000071604.5,ENSG00000135063,FAM189A2
Cabs1,ENSMUSG00000007907.4,ENSG00000145309,CABS1
Utp15,ENSMUSG00000041747.3,ENSG00000164338,UTP15
Larp1b,ENSMUSG00000025762.16,ENSG00000138709,LARP1B
Eif4g1,ENSMUSG00000045983.16,ENSG00000114867,EIF4G1
Mief2,ENSMUSG00000018599.5,ENSG00000177427,MIEF2
Scube2,ENSMUSG00000007279.14,ENSG00000175356,SCUBE2
Rps3a1,ENSMUSG00000028081.6,ENSG00000145425,RPS3A
